present_time MissedSells MissedSells_rate
79.344048 12 0.170291
79.356061 12 0.170291
79.385768 12 0.170291
79.400000 12 0.170291
79.428704 12 0.170291
79.441178 12 0.170291
79.444048 12 0.170291
79.456061 12 0.170291
79.485768 12 0.170291
79.528704 12 0.170291
79.541178 12 0.170291
79.544048 12 0.170291
79.556061 12 0.170291
79.585768 12 0.170291
79.600000 12 0.170291
79.600000 12 0.170291
79.628704 12 0.170291
79.641178 12 0.170291
79.644048 12 0.170291
79.656061 12 0.170291
79.685768 12 0.170291
79.728704 12 0.170291
79.741178 12 0.170291
79.744048 12 0.170291
79.756061 12 0.170291
79.785768 12 0.170291
79.800000 12 0.170291
79.800000 12 0.170291
79.828704 12 0.170291
79.841178 12 0.170291
79.844048 12 0.170291
79.856061 12 0.170291
79.885768 12 0.170291
79.928704 12 0.170291
79.941178 12 0.170291
79.944048 12 0.170291
79.956061 12 0.170291
79.985768 12 0.170291
80.000000 12 0.170291
80.028704 12 0.170291
80.041178 12 0.170291
80.044048 12 0.170291
80.056061 12 0.170291
80.085768 12 0.170291
80.128704 12 0.170291
80.141178 12 0.170291
80.144048 12 0.170291
80.156061 12 0.170291
80.185768 12 0.170291
80.200000 12 0.170291
80.228704 12 0.170291
80.241178 12 0.170291
80.244048 12 0.170291
80.256061 12 0.170291
80.285768 12 0.170291
80.328704 12 0.170291
80.341178 12 0.170291
80.344048 12 0.170291
80.356061 12 0.170291
80.385768 12 0.170291
80.400000 12 0.170291
80.428704 12 0.170291
80.441178 12 0.170291
80.444048 12 0.170291
80.456061 12 0.170291
80.485768 12 0.170291
80.528704 12 0.170291
80.541178 12 0.170291
80.544048 12 0.170291
80.556061 12 0.170291
80.585768 12 0.170291
80.600000 12 0.170291
80.628704 12 0.170291
80.641178 12 0.170291
80.644048 12 0.170291
80.656061 12 0.170291
80.685768 12 0.170291
80.728704 12 0.170291
80.741178 12 0.170291
80.744048 12 0.170291
80.756061 12 0.170291
80.785768 12 0.170291
80.800000 12 0.170291
80.828704 12 0.170291
80.841178 12 0.170291
80.844048 12 0.170291
80.856061 12 0.170291
80.885768 12 0.170291
80.928704 12 0.170291
80.941178 12 0.170291
80.944048 12 0.170291
80.956061 12 0.170291
80.985768 12 0.170291
81.000000 12 0.170291
81.028704 12 0.170291
81.041178 12 0.170291
81.044048 12 0.170291
81.056061 12 0.170291
81.085768 12 0.170291
81.128704 12 0.170291
81.141178 12 0.170291
81.144048 12 0.170291
81.156061 12 0.170291
81.185768 12 0.170291
81.200000 12 0.170291
81.228704 12 0.170291
81.241178 12 0.170291
81.244048 12 0.170291
81.256061 12 0.170291
81.285768 12 0.170291
81.328704 12 0.170291
81.341178 12 0.170291
81.344048 12 0.170291
81.356061 12 0.170291
81.385768 12 0.170291
81.400000 12 0.170291
81.428704 12 0.170291
81.441178 12 0.170291
81.444048 12 0.170291
81.456061 12 0.170291
81.485768 12 0.170291
81.528704 12 0.170291
81.541178 12 0.170291
81.544048 12 0.170291
81.556061 12 0.170291
81.585768 12 0.170291
81.600000 12 0.170291
81.628704 12 0.170291
81.641178 12 0.170291
81.644048 12 0.170291
81.656061 12 0.170291
81.685768 12 0.170291
81.728704 12 0.170291
81.741178 12 0.170291
81.744048 12 0.170291
81.756061 12 0.170291
81.785768 12 0.170291
81.800000 12 0.170291
81.828704 12 0.170291
81.841178 12 0.170291
81.844048 12 0.170291
81.856061 12 0.170291
81.885768 12 0.170291
81.900000 12 0.170291
81.928704 12 0.170291
81.941178 12 0.170291
81.944048 12 0.170291
81.956061 12 0.170291
81.985768 12 0.170291
82.000000 12 0.170291
82.028704 12 0.170291
82.041178 12 0.170291
82.044048 12 0.170291
82.056061 12 0.170291
82.085768 12 0.170291
82.100000 12 0.170291
82.128704 12 0.170291
82.141178 12 0.170291
82.144048 12 0.170291
82.156061 12 0.170291
82.185768 12 0.170291
82.200000 12 0.170291
82.228704 12 0.170291
82.241178 12 0.170291
82.244048 12 0.170291
82.256061 12 0.170291
82.285768 12 0.170291
82.328704 12 0.170291
82.341178 12 0.170291
82.344048 12 0.170291
82.356061 12 0.170291
82.385768 12 0.170291
82.400000 12 0.170291
82.428704 12 0.170291
82.441178 12 0.170291
82.444048 12 0.170291
82.456061 12 0.170291
82.485768 12 0.170291
82.528704 12 0.170291
82.541178 12 0.170291
82.544048 12 0.170291
82.556061 12 0.170291
82.585768 12 0.170291
82.600000 12 0.170291
82.628704 12 0.170291
82.641178 12 0.170291
82.644048 12 0.170291
82.656061 12 0.170291
82.685768 12 0.170291
82.728704 12 0.170291
82.741178 12 0.170291
82.744048 12 0.170291
82.756061 12 0.170291
82.785768 12 0.170291
82.800000 12 0.170291
82.828704 12 0.170291
82.841178 12 0.170291
82.844048 12 0.170291
82.856061 12 0.170291
82.885768 12 0.170291
82.928704 12 0.170291
82.941178 12 0.170291
82.944048 12 0.170291
82.956061 12 0.170291
82.969254 12 0.170291
82.985768 12 0.170291
83.000000 12 0.170291
83.028704 12 0.170291
83.041178 12 0.170291
83.044048 12 0.170291
83.056061 12 0.170291
83.085768 12 0.170291
83.128704 12 0.170291
83.141178 12 0.170291
83.144048 12 0.170291
83.156061 12 0.170291
83.169254 12 0.170291
83.185768 12 0.170291
83.200000 12 0.170291
83.228704 12 0.170291
83.241178 12 0.170291
83.244048 12 0.170291
83.256061 12 0.170291
83.285768 12 0.170291
83.328704 12 0.170291
83.341178 12 0.170291
83.344048 12 0.170291
83.356061 12 0.170291
83.369254 12 0.170291
83.385768 12 0.170291
83.400000 12 0.170291
83.428704 12 0.170291
83.441178 12 0.170291
83.444048 12 0.170291
83.456061 12 0.170291
83.485768 12 0.170291
83.528704 12 0.170291
83.541178 12 0.170291
83.544048 12 0.170291
83.556061 12 0.170291
83.585768 12 0.170291
83.600000 12 0.170291
83.628704 12 0.170291
83.641178 12 0.170291
83.644048 12 0.170291
83.656061 12 0.170291
83.685768 12 0.170291
83.728704 12 0.170291
83.741178 12 0.170291
83.744048 12 0.170291
83.756061 12 0.170291
83.785768 12 0.170291
83.800000 12 0.170291
83.828704 12 0.170291
83.841178 12 0.170291
83.844048 12 0.170291
83.856061 12 0.170291
83.885768 12 0.170291
83.928704 12 0.170291
83.941178 12 0.170291
83.944048 12 0.170291
83.956061 12 0.170291
83.985768 12 0.170291
84.000000 12 0.170291
84.028704 12 0.170291
84.041178 12 0.170291
84.044048 12 0.170291
84.056061 12 0.170291
84.085768 12 0.170291
84.128704 12 0.170291
84.141178 12 0.170291
84.144048 12 0.170291
84.156061 12 0.170291
84.185768 12 0.170291
84.200000 12 0.170291
84.200000 12 0.170291
84.228704 12 0.170291
84.241178 12 0.170291
84.244048 12 0.170291
84.256061 12 0.170291
84.285768 12 0.170291
84.328704 12 0.170291
84.341178 12 0.170291
84.344048 12 0.170291
84.385768 12 0.170291
84.400000 12 0.170291
84.400000 12 0.170291
84.428704 12 0.170291
84.441178 12 0.170291
84.444048 12 0.170291
84.485768 12 0.170291
84.528704 12 0.170291
84.541178 12 0.170291
84.544048 12 0.170291
84.585768 12 0.170291
84.600000 12 0.170291
84.628704 12 0.170291
84.641178 12 0.170291
84.644048 12 0.170291
84.685768 12 0.170291
84.728704 12 0.170291
84.741178 12 0.170291
84.744048 12 0.170291
84.785768 12 0.170291
84.800000 12 0.170291
84.828704 12 0.170291
84.841178 12 0.170291
84.844048 12 0.170291
84.885768 12 0.170291
84.928704 12 0.170291
84.941178 12 0.170291
84.944048 12 0.170291
84.985768 12 0.170291
85.000000 12 0.170291
85.028704 12 0.170291
85.041178 12 0.170291
85.044048 12 0.170291
85.085768 12 0.170291
85.128704 12 0.170291
85.141178 12 0.170291
85.144048 12 0.170291
85.185768 12 0.170291
85.200000 12 0.170291
85.228704 12 0.170291
85.241178 12 0.170291
85.244048 12 0.170291
85.285768 12 0.170291
85.328704 12 0.170291
85.341178 12 0.170291
85.344048 12 0.170291
85.385768 12 0.170291
85.400000 12 0.170291
85.428704 12 0.170291
85.441178 12 0.170291
85.444048 12 0.170291
85.485768 12 0.170291
85.528704 12 0.170291
85.541178 12 0.170291
85.544048 12 0.170291
85.585768 12 0.170291
85.600000 12 0.170291
85.628704 12 0.170291
85.641178 12 0.170291
85.644048 12 0.170291
85.685768 12 0.170291
85.728704 12 0.170291
85.741178 12 0.170291
85.744048 12 0.170291
85.785768 12 0.170291
85.800000 12 0.170291
85.828704 12 0.170291
85.841178 12 0.170291
85.844048 12 0.170291
85.885768 12 0.170291
85.928704 12 0.170291
85.941178 12 0.170291
85.944048 12 0.170291
85.985768 12 0.170291
86.000000 12 0.170291
86.028704 12 0.170291
86.041178 12 0.170291
86.044048 12 0.170291
86.085768 12 0.170291
86.128704 12 0.170291
86.141178 12 0.170291
86.144048 12 0.170291
86.185768 12 0.170291
86.200000 12 0.170291
86.208404 12 0.170291
86.228704 12 0.170291
86.241178 12 0.170291
86.244048 12 0.170291
86.285768 12 0.170291
86.308404 12 0.170291
86.328704 12 0.170291
86.341178 12 0.170291
86.344048 12 0.170291
86.385768 12 0.170291
86.400000 12 0.170291
86.408404 12 0.170291
86.428704 12 0.170291
86.441178 12 0.170291
86.444048 12 0.170291
86.485768 12 0.170291
86.500000 12 0.170291
86.508404 12 0.170291
86.528704 12 0.170291
86.541178 12 0.170291
86.544048 12 0.170291
86.585768 12 0.170291
86.600000 12 0.170291
86.608404 12 0.170291
86.628704 12 0.170291
86.641178 12 0.170291
86.685768 12 0.170291
86.700000 12 0.170291
86.708404 12 0.170291
86.728704 12 0.170291
86.741178 12 0.170291
86.785768 12 0.170291
86.800000 12 0.170291
86.808404 12 0.170291
86.828704 12 0.170291
86.841178 12 0.170291
86.885768 12 0.170291
86.908404 12 0.170291
86.928704 12 0.170291
86.941178 12 0.170291
86.985768 12 0.170291
87.000000 12 0.170291
87.008404 12 0.170291
87.028704 12 0.170291
87.041178 12 0.170291
87.085768 12 0.170291
87.108404 12 0.170291
87.128704 12 0.170291
87.141178 12 0.170291
87.185768 12 0.170291
87.200000 12 0.170291
87.208404 12 0.170291
87.228704 12 0.170291
87.241178 12 0.170291
87.285768 12 0.170291
87.308404 12 0.170291
87.328704 12 0.170291
87.341178 12 0.170291
87.385768 12 0.170291
87.400000 12 0.170291
87.408404 12 0.170291
87.428704 12 0.170291
87.441178 12 0.170291
87.485768 12 0.170291
87.508404 12 0.170291
87.528704 12 0.170291
87.541178 12 0.170291
87.585768 12 0.170291
87.600000 12 0.170291
87.608404 12 0.170291
87.628704 12 0.170291
87.641178 12 0.170291
87.685768 12 0.170291
87.708404 12 0.170291
87.728704 12 0.170291
87.733181 12 0.170291
87.741178 12 0.170291
87.785768 12 0.170291
87.800000 12 0.170291
87.808404 12 0.170291
87.828704 12 0.170291
87.841178 12 0.170291
87.885768 12 0.170291
87.908404 12 0.170291
87.928704 12 0.170291
87.933181 12 0.170291
87.941178 12 0.170291
87.985768 12 0.170291
88.000000 12 0.170291
88.008404 12 0.170291
88.028704 12 0.170291
88.041178 12 0.170291
88.085768 12 0.170291
88.108404 12 0.170291
88.128704 12 0.170291
88.133181 12 0.170291
88.141178 12 0.170291
88.185768 12 0.170291
88.200000 12 0.170291
88.208404 12 0.170291
88.228704 12 0.170291
88.241178 12 0.170291
88.285768 12 0.170291
88.308404 12 0.170291
88.328704 12 0.170291
88.341178 12 0.170291
88.385768 12 0.170291
88.400000 12 0.170291
88.407049 12 0.170291
88.408404 12 0.170291
88.428704 12 0.170291
88.441178 12 0.170291
88.485768 12 0.170291
88.507049 12 0.170291
88.508404 12 0.170291
88.528704 12 0.170291
88.541178 12 0.170291
88.585768 12 0.170291
88.600000 12 0.170291
88.607049 12 0.170291
88.608404 12 0.170291
88.628704 12 0.170291
88.641178 12 0.170291
88.685768 12 0.170291
88.707049 12 0.170291
88.708404 12 0.170291
88.728704 12 0.170291
88.741178 12 0.170291
88.785768 12 0.170291
88.800000 12 0.170291
88.800000 12 0.170291
88.807049 12 0.170291
88.808404 12 0.170291
88.828704 12 0.170291
88.841178 12 0.170291
88.885768 12 0.170291
88.907049 12 0.170291
88.908404 12 0.170291
88.941178 12 0.170291
88.985768 12 0.170291
89.000000 12 0.170291
89.000000 12 0.170291
89.007049 12 0.170291
89.008404 12 0.170291
89.041178 12 0.170291
89.085768 12 0.170291
89.107049 12 0.170291
89.108404 12 0.170291
89.141178 12 0.170291
89.185768 12 0.170291
89.200000 12 0.170291
89.207049 12 0.170291
89.208404 12 0.170291
89.241178 12 0.170291
89.285768 12 0.170291
89.307049 12 0.170291
89.308404 12 0.170291
89.341178 12 0.170291
89.385768 12 0.170291
89.400000 12 0.170291
89.407049 12 0.170291
89.408404 12 0.170291
89.441178 12 0.170291
89.485768 12 0.170291
89.507049 12 0.170291
89.508404 12 0.170291
89.541178 12 0.170291
89.585768 12 0.170291
89.600000 12 0.170291
89.607049 12 0.170291
89.608404 12 0.170291
89.641178 12 0.170291
89.685768 12 0.170291
89.707049 12 0.170291
89.708404 12 0.170291
89.741178 12 0.170291
89.785768 12 0.170291
89.800000 12 0.170291
89.807049 12 0.170291
89.808404 12 0.170291
89.841178 12 0.170291
89.885768 12 0.170291
89.907049 12 0.170291
89.908404 12 0.170291
89.941178 12 0.170291
89.952114 12 0.170291
89.985768 12 0.170291
90.000000 12 0.170291
